,Metres,Rail_Lb,Ballast_Size,Sleeper_Type,,,Gradient_1_in,Elevation,Gradient_Metres_Start,,,Curve_Metres_X,Curve_Metres_Y
,,,,,,,,,,,,4799,0
,,,,,,,,,,,,4823,0
,,,,,,,,,,,,4847,0
,,,,,,,,,,,,4847,-201
,,,,,,,,,,,,5082,-201
,,,,,,,,,,,,5318,-201
,,,,,,,,,,,,5318,0
,,,,,,,,,,,,5420,0
,,,,,,,,,,,,5522,0
,,,,,,,,,,,,5522,-101
,,,,,,,,,,,,5571,-101
,,,,,,,,,,,,5621,-101
,,,,,,,,,,,,5621,0
,,,,,,,,,,,,5646,0
,,,,,,,,,,,,5672,0
,,,,,,,,,,,,5672,101
,,,,,,,,,,,,5772,101
,,,,,,,,,,,,5872,101
,,,,,,,,,,,,5872,0
,,,,,,,,,,,,5920,0
,,,,,,,,,,,,5968,0
,,,,,,,,,,,,5968,-40
,,,,,,,,,,,,6194,-40
,,,,,,,,,,,,6420,-40
,,,,,,,,,,,,6420,0
,,,,,,,,,,,,6442,0
,,,,,,,,,,,,6465,0
,,,,,,,,,,,,6465,51
,,,,,,,,,,,,6522,51
,,,,,,,,,,,,6579,51
,,,,,,,,,,,,6579,0
,,,,,,,,,,,,6579,-40
,,,,,,,,,,,,6603,-40
,,,,,,,,,,,,6627,-40
,,,,,,,,,,,,6627,0
,,,,,,,,,,,,6696,0
,,,,,,,,,,,,6765,0
,,,,,,,,,,,,6765,101
,,,,,,,,,,,,6806,101
,,,,,,,,,,,,6848,101
,,,,,,,,,,,,6848,0
,,,,,,,,,,,,6879,0
,,,,,,,,,,,,6910,0
,,,,,,,,,,,,6910,-40
,,,,,,,,,,,,6935,-40
,,,,,,,,,,,,6961,-40
,,,,,,,,,,,,6961,0
,,,,,,,,,,,,6986,0
,,,,,,,,,,,,7012,0
,,,,,,,,,,,,7012,51
,,,,,,,,,,,,7080,51
,,,,,,,,,,,,7148,51
,,,,,,,,,,,,7148,0
,,,,,,,,,,,,7171,0
,,,,,,,,,,,,7194,0
,,,,,,,,,,,,7194,-51
,,,,,,,,,,,,7206,-51
,,,,,,,,,,,,7219,-51
,,,,,,,,,,,,7219,0
,,,,,,,,,,,,7219,51
,,,,,,,,,,,,7242,51
,,,,,,,,,,,,7265,51
,,,,,,,,,,,,7265,0
,,,,,,,,,,,,7299,0
,,,,,,,,,,,,7334,0
,,,,,,,,,,,,7408,0
,,,,,,,,,,,,7500,0
