hold to change name				Signature								
												
												
				Operator ID		Carl						
Profile		KM Meters Gauge X-Level										
Start Location		0km 0.0m										
Start Position												
End Location		1km 792.75m										
End Position												
Direction Of Travel		Increment										
Job Reference		Maintenance										
Route ID		Hebron to Llanberis										
Track ID		Straights										
System Security		Operator										
Start Time		31/05/2017 09:35										
End Time		31/05/2017 10:28										
Software Version		AMB04S00r011CB (28)										
Displacement Units		Millimetres										
Profile ID		simple										
Profile Security		Operator										
Profile Lock		Unlocked										
Profile Format		14										
X-Level Polarity		Clockwise Positive										
Acquisition Rate		125.0mm (125.0mm)										
Twist Base 1		3.0m										
Twist Base 2		5.0m										
Twist Ratio Base 1		3.0m										
Twist Ratio Base 2		5.0m										
Gauge Mean Base		3.0m										
X-Level Range Base		3.0m										
Start Temperature		21.4°C										
End Temperature		26.7°C										
Rezero Temperature		22.4°C										
Serial Number		13/00429										
Reference Gauge		800.0mm										
Reference Cant		830.0mm										
Usage		801658										
Firmware Version		12										
Hardware Version		2.5.1063										
Calibrated		09-Sep-13										
Calibration Table Serial Number		1										
Key		In Tolerance										
		Level 1										
		Level 2										
		Level 3										
		Optional										
		Missing Data										
												
KM	Metres	Gauge	X-Level	Comments								
0	0.125	802.8	-0.4									
0	0.25	802.7	-0.4									
0	0.375	802.6	-0.3									
0	0.5	802.4	-0.2									
0	0.625	802.2	-0.2									
0	0.75	802	-0.3									
0	0.875	801.9	-0.3									
0	1	801.8	-0.5									
0	1.125	801.7	-0.3									
0	1.25	801.6	-0.3									
0	1.375	801.5	-0.3									
0	1.5	801.4	-0.2									
0	1.625	801.3	-0.3									
0	1.75	801.2	-0.3									
0	1.875	801.1	-0.2									
0	2	801	0									
0	2.125	801	0.1									
0	2.25	801	0.4									
0	2.375	801	0.6									
0	2.5	801	0.6									
0	2.625	801.1	0.7									
0	2.75	801.1	0.8									
0	2.875	801.2	0.9									
0	3	801.2	0.9									
0	3.125	801.4	1.2									
0	3.25	801.5	1.2									
0	3.375	801.6	1.1									
0	3.5	801.7	0.9									
0	3.625	801.8	0.7									
0	3.75	801.9	0.7									
0	3.875	802.1	0.6									
0	4	802.4	0.9									
0	4.125	802.7	0.8									
0	4.25	802.9	0.9									
0	4.375	803.2	0.7									
0	4.5	803.3	0.3									
0	4.625	803.4	0									
0	4.75	803.4	0									
0	4.875	803.4	0.1									
0	5	803.3	0.1									
0	5.125	803.2	0.1									
0	5.25	802.9	0.2									
0	5.375	802.8	0.3									
0	5.5	802.6	0.3									
0	5.625	802.5	0.4									
0	5.75	802.6	0.6									
0	5.875	802.8	0.9									
0	6	803	1.1									
0	6.125	803.3	1.3									
0	6.25	803.6	1.4									
0	6.375	803.8	1.4									
0	6.5	804	1.3									
0	6.625	804.1	1.4									
0	6.75	804.1	1.6									
0	6.875	804	1.7									
0	7	803.8	2									
0	7.125	803.7	2.5									
0	7.25	803.5	2.8									
0	7.375	803.2	2.9									
0	7.5	803.1	3									
0	7.625	802.8	3									
0	7.75	802.6	3									
0	7.875	802.4	3.3									
0	8	802.2	3.5									
0	8.125	802.1	3.6									
0	8.25	802	3.5									
0	8.375	801.9	3.4									
0	8.5	801.8	3.2									
0	8.625	801.8	3.1									
0	8.75	801.8	2.9									
0	8.875	801.9	2.9									
0	9	801.9	2.9									
0	9.125	802	2.6									
0	9.25	802	2.5									
0	9.375	802.1	2.2									
0	9.5	802.1	1.7									
0	9.625	802.1	1.6									
0	9.75	802.1	1.3									
0	9.875	802.1	1.2									
0	10	802.1	1									
0	10.125	802.1	0.7									
0	10.25	802.1	0.5									
0	10.375	802	0.2									
0	10.5	802	0									
0	10.625	802.1	-0.2									
0	10.75	802.1	-0.3									
0	10.875	802.3	-0.3									
0	11	802.5	-0.3									
0	11.125	802.9	-0.2									
0	11.25	803.4	-0.3									
0	11.375	803.9	-0.3									
0	11.5	804.3	-0.5									
0	11.625	804.6	-0.9									
0	11.75	804.6	-1.1									
0	11.875	804.5	-1.1									
0	12	804.3	-1.3									
0	12.125	804.1	-1.5									
0	12.25	804	-1.7									
0	12.375	803.8	-1.9									
0	12.5	803.6	-2.1									
0	12.625	803.5	-2.4									
0	12.75	803.4	-2.5									
0	12.875	803.3	-2.7									
0	13	803.2	-2.8									
0	13.125	803.2	-3									
0	13.25	803.2	-3.1									
0	13.375	803.1	-3.2									
0	13.5	803.1	-3.3									
0	13.625	803	-3.4									
0	13.75	803	-3.4									
0	13.875	803	-3.4									
0	14	803	-3.4									
0	14.125	802.9	-3.3									
0	14.25	802.9	-3.2									
0	14.375	802.9	-3.1									
0	14.5	803	-3									
0	14.625	803	-2.8									
0	14.75	803.2	-2.5									
0	14.875	803.3	-2.3									
0	15	803.5	-2.1									
0	15.125	803.8	-1.8									
0	15.25	804.1	-1.4									
0	15.375	804.3	-1.2									
0	15.5	804.6	-1.1									
0	15.625	804.7	-0.8									
0	15.75	804.8	-0.4									
0	15.875	804.9	-0.2									
0	16	805	0.1									
0	16.125	805	0.4									
0	16.25	805.1	0.4									
0	16.375	805.2	0.6									
0	16.5	805.2	0.6									
0	16.625	805.4	0.6									
0	16.75	805.5	0.6									
0	16.875	805.6	0.6									
0	17	805.7	0.4									
0	17.125	805.7	0.2									
0	17.25	805.7	0									
0	17.375	805.6	-0.3									
0	17.5	805.5	-0.5									
0	17.625	805.5	-0.8									
0	17.75	805.4	-0.8									
0	17.875	805.3	-0.9									
0	18	805.3	-0.9									
0	18.125	805.3	-0.8									
0	18.25	805.3	-0.8									
0	18.375	805.4	-0.6									
0	18.5	805.4	-0.6									
0	18.625	805.4	-0.4									
0	18.75	805.5	-0.2									
0	18.875	805.5	0									
0	19	805.5	0.1									
0	19.125	805.5	0.4									
0	19.25	805.6	0.7									
0	19.375	805.6	0.9									
0	19.5	805.6	1.3									
0	19.625	805.5	1.6									
0	19.75	805.5	1.9									
0	19.875	805.4	2.2									
0	20	805.3	2.5									
0	20.125	805.3	2.7									
0	20.25	805.2	2.9									
0	20.375	805.2	3.2									
0	20.5	805.1	3.3									
0	20.625	805	3.5									
0	20.75	805	3.6									
0	20.875	805	3.8									
0	21	805	3.9									
0	21.125	805	3.9									
0	21.25	805.1	3.9									
0	21.375	805.2	4									
0	21.5	805.2	4.2									
0	21.625	805.3	4.7									
0	21.75	805.4	5.1									
0	21.875	805.6	5.4									
0	22	805.8	5.8									
0	22.125	806	6.2									
0	22.25	806.2	6.4									
0	22.375	806.3	6.8									
0	22.5	806.6	7.1									
0	22.625	806.7	7.5									
0	22.75	806.9	7.7									
0	22.875	807	7.8									
0	23	807.1	7.9									
0	23.125	807.2	8.1									
0	23.25	807.2	8.1									
0	23.375	807.2	8.3									
0	23.5	807.1	8.4									
0	23.625	807	8.2									
0	23.75	806.8	8.1									
0	23.875	806.6	8.2									
0	24	806.4	7.5									
0	24.125	806.2	7.5									
0	24.25	806	7.2									
0	24.375	806	6.7									
0	24.5	805.9	7.1									
0	24.625	805.8	7.1									
0	24.75	805.7	7.1									
0	24.875	805.6	7.5									
0	25	805.5	7.5									
0	25.125	805.4	7.4									
0	25.25	805.3	7.5									
0	25.375	805.2	7.4									
0	25.5	805.2	7.3									
0	25.625	805.1	7.2									
0	25.75	805.1	7.3									
0	25.875	805.1	7.4									
0	26	805.1	7.4									
0	26.125	805.2	7.5									
0	26.25	805.2	7.5									
0	26.375	805.4	7.5									
0	26.5	805.5	7.6									
0	26.625	805.7	7.8									
0	26.75	805.8	8									
0	26.875	806	8									
0	27	806.2	8.1									
0	27.125	806.3	8									
0	27.25	806.5	7.7									
0	27.375	806.5	7.5									
0	27.5	806.6	7.5									
0	27.625	806.6	7.3									
0	27.75	806.6	7.2									
0	27.875	806.6	7.2									
0	28	806.6	7.1									
0	28.125	806.7	7.1									
0	28.25	806.7	7									
0	28.375	806.7	7.1									
0	28.5	806.7	7.2									
0	28.625	806.7	7.5									
0	28.75	806.7	7.7									
0	28.875	806.7	8.1									
0	29	806.7	8.3									
0	29.125	806.6	8.5									
0	29.25	806.5	8.7									
0	29.375	806.4	8.8									
0	29.5	806.4	9									
0	29.625	806.3	9.2									
0	29.75	806.1	9.3									
0	29.875	806	9.4									
0	30	805.8	9.2									
0	30.125	805.6	9									
0	30.25	805.4	9.1									
0	30.375	805.2	8.9									
